query_case_id,query_thread_id,query_intent,query_customer_text,retrieved_rank,retrieved_case_id,retrieved_intent,similarity_score,retrieved_customer_problem,retrieved_support_response,retrieved_outcome,relevance_score,relevance_label,relevance_rationale
CASE_007474,2783294,APP_STORE_PURCHASES_BILLING,"My ipod is having issues loading songs. Oddly only the songs I didnt rip from CDs are affected.  Well played @115858 well played..... @AppleSupport it's likely my hard drive guys, I've worked with you for weeks to figure it out and nothing seems to fix it.  went as high as a senior staff member.  you guys couldn't find anything wrong with your systems. @AppleSupport I was trying to be witty.  because I'm hoping a new hard drive will fix it.  didn't expect you guys to actually answer  :)  tweeting about my problems in a funny ""poke fun at myself"" way. @AppleSupport Im waiting on black friday deals to get a new HD. Already got a new cord, did diagnostics/virus scan nothing fixed it. Moved library to main drive and it transferred. So gonna try a new external this one is from 2015. @AppleSupport If that doesnt work, I will be back. Because the only things left to replace is the actual computer and the actual ipod. Ipod is almost 2 years old now, computer is maybe 3. @AppleSupport Ipod seems fine, laptop seems fine too after i did all that. So gonna try this approach",2,CASE_007183,GENERAL_DEVICE_INQUIRY,0.6228,"@AppleSupport My ipod by Apple is one of the worst thing ever. I had to change it again a fews weeks ago and again it doesn't work anymore.😡 @AppleSupport I was able to finally open it. The next time it does the same,it will go in the trash and i will buy from an other compagny. It's been the 3th times that it happen.","@757904 We know how important it is for your iPod to work as expected and we'd like to help. To start, please DM us with details about what's not working. We look forward to hearing back from you. https://t.co/GDrqU22YpT @757904 We're glad to hear you were able to get your iPod to work. If this happens again and you'd like help, please feel free to send us a DM with the link below. We're happy to do everything we can to help. https://t.co/GDrqU22YpT",CLEARLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_007474,2783294,APP_STORE_PURCHASES_BILLING,"My ipod is having issues loading songs. Oddly only the songs I didnt rip from CDs are affected.  Well played @115858 well played..... @AppleSupport it's likely my hard drive guys, I've worked with you for weeks to figure it out and nothing seems to fix it.  went as high as a senior staff member.  you guys couldn't find anything wrong with your systems. @AppleSupport I was trying to be witty.  because I'm hoping a new hard drive will fix it.  didn't expect you guys to actually answer  :)  tweeting about my problems in a funny ""poke fun at myself"" way. @AppleSupport Im waiting on black friday deals to get a new HD. Already got a new cord, did diagnostics/virus scan nothing fixed it. Moved library to main drive and it transferred. So gonna try a new external this one is from 2015. @AppleSupport If that doesnt work, I will be back. Because the only things left to replace is the actual computer and the actual ipod. Ipod is almost 2 years old now, computer is maybe 3. @AppleSupport Ipod seems fine, laptop seems fine too after i did all that. So gonna try this approach",3,CASE_002252,GENERAL_DEVICE_INQUIRY,0.6144,@115858 my new iPod isn't working what do I do ? @AppleSupport I had this thing since 2011 @AppleSupport Thanks,"@333403 We want to help with any issues you're having. To provide the best support, may we have a description of the issue? @333403 Got it. We'll need some more details to provide the most appropriate solution for this. Please let us know in a DM. https://t.co/GDrqU22YpT",PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_000123,55084,APP_STORE_PURCHASES_BILLING,"Why can’t I listen to my music in the car since updating #ineedanswers @115858 @AppleSupport It’s says it’s “indexing” and won’t play my music @AppleSupport It’s working now 😬 @AppleSupport I shut my phone off for 15 minutes and when I turned it back on, it worked. Ty",1,CASE_001552,APP_STORE_PURCHASES_BILLING,0.7358,@115858 @AppleSupport @115948 I updated my phone and now Apple Music doesn’t work 😡 @AppleSupport  https://t.co/gMXYt1Jz62 @AppleSupport I can’t go into music through my settings. It freezes up and then closes my settings app @AppleSupport I’ve tried all of this and nothing has worked,"@261482 Let's get that music back so you can continue to enjoy it. What happens when you go to your Music app? Do you see any songs? Is iCloud Music Library enabled: https://t.co/9VQ9VywZJ2? @261482 Let's have you go through the steps in this link and follow the steps up until you have to contact the developer. If you are still having issues then, reach back out to us: https://t.co/fUZ0NRJxcn @261482 We still want to help you. DM us, and we can look into this deeper. https://t.co/GDrqU22YpT",CLEARLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_000123,55084,APP_STORE_PURCHASES_BILLING,"Why can’t I listen to my music in the car since updating #ineedanswers @115858 @AppleSupport It’s says it’s “indexing” and won’t play my music @AppleSupport It’s working now 😬 @AppleSupport I shut my phone off for 15 minutes and when I turned it back on, it worked. Ty",2,CASE_006828,APP_STORE_PURCHASES_BILLING,0.7177,@AppleSupport why doesn’t my music work with a aux cord in the car anymore?! I seriously hate this new software @AppleSupport iPhone 7 @AppleSupport It’s the phone. Because my friend has a the same problem same phone and in her car the aux cord won’t either @AppleSupport Yes my friend is using a different one. And I have an aux cord but the adaptor is from Apple. It was working fine until I updated my phone,"@682280 We'll take a look into this for you. Which device are you encountering this issue on? @682280 Let's try to isolate this a little by swapping out cords to see if the issue is with the aux cord or the iPhone itself. Do you have a different aux cord you can try? Are you able to hear music through earphones? @682280 Just so we understand the issue:
- Is your friend using a different aux cord with her iPhone in her car?
- Are you referring to a cord that connects to the Lightning to Audio Adapter, and then connects to the Aux port on your car, for a direct connection? @682280 Let's look into that further. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT",CLEARLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_000123,55084,APP_STORE_PURCHASES_BILLING,"Why can’t I listen to my music in the car since updating #ineedanswers @115858 @AppleSupport It’s says it’s “indexing” and won’t play my music @AppleSupport It’s working now 😬 @AppleSupport I shut my phone off for 15 minutes and when I turned it back on, it worked. Ty",3,CASE_006591,APP_STORE_PURCHASES_BILLING,0.7156,@117168 @115858 pls explain why my music wont show up on my phone😭😭😢 https://t.co/fqx18WL7Zt @AppleSupport its working now thank you i appreciate it,"@708827 We'd love to help with your music! When you restart, does it show normally? Send us a DM if it doesn't. https://t.co/GDrqU22YpT",CLEARLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_002473,1010808,AUDIO_SOUND_SPEAKER,if i can listen to a voice note on speaker my phone shouldnt be going into 'sleep mode' while its playing @AppleSupport fix it please @AppleSupport also can i get a fast forward option??? so that when this happens i dont have to listen to it all over again. @AppleSupport sincerely someone who just had to play the same voice note 5 times... just to hear the last 30 seconds @AppleSupport Thanks for the temporary option.. anyway my suggestion can be sent in though if it hasn't already been @AppleSupport Thanks,1,CASE_002402,AUDIO_SOUND_SPEAKER,0.6023,@AppleSupport my phone isn’t in silent mode but there’s no sound @AppleSupport It’s fine now. But thank you for trying.,@349718 Let's help isolate and take a closer look. Are you still able to play audio such as music? What about through headphones?,PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_002473,1010808,AUDIO_SOUND_SPEAKER,if i can listen to a voice note on speaker my phone shouldnt be going into 'sleep mode' while its playing @AppleSupport fix it please @AppleSupport also can i get a fast forward option??? so that when this happens i dont have to listen to it all over again. @AppleSupport sincerely someone who just had to play the same voice note 5 times... just to hear the last 30 seconds @AppleSupport Thanks for the temporary option.. anyway my suggestion can be sent in though if it hasn't already been @AppleSupport Thanks,2,CASE_007044,GENERAL_DEVICE_INQUIRY,0.5843,@AppleSupport why can’t I listen to my voicemails. Haven’t been able to since I got my iPhone X https://t.co/AyrrrzGgME,"@711167 We want to be sure you can access your voicemail as you'd expect. We can help! Do you have the same results after you restart your iPhone? 
Which iOS are you running? You can go to Settings &gt; General &gt; About to locate the version.",PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_002473,1010808,AUDIO_SOUND_SPEAKER,if i can listen to a voice note on speaker my phone shouldnt be going into 'sleep mode' while its playing @AppleSupport fix it please @AppleSupport also can i get a fast forward option??? so that when this happens i dont have to listen to it all over again. @AppleSupport sincerely someone who just had to play the same voice note 5 times... just to hear the last 30 seconds @AppleSupport Thanks for the temporary option.. anyway my suggestion can be sent in though if it hasn't already been @AppleSupport Thanks,3,CASE_006718,DISPLAY_TOUCH_SCREEN,0.5761,"@AppleSupport my iPhone X has a weird glitch where I try to call and automatically ends the call and it pauses my music after I play the song please make and a update to fix it @AppleSupport @717026 I have the same exact glitch.  all day i could not make calls or receive calls.  It is still happening.  I get voicemails though.  I press ""call"" to a contact and then it just beeps at me rapidly and goes back to home screen.","@717026 We certainly want to take a look into this issue further. To help guide us through troubleshooting, may we have the iOS version shown in Settings &gt; General &gt; About.",PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_001705,652923,AUDIO_SOUND_SPEAKER,"@AppleSupport my iPhone has a weird white/grey line that goes from the bottom to the middle of the screen, and the volume box is stuck in the middle of the screen. How do I troubleshoot/fix this? @AppleSupport Thanks! I’ve restarted it a few times and my software version is 10.0.1",1,CASE_000348,DISPLAY_TOUCH_SCREEN,0.6977,Uh oh I’m having iPhone X issues. Let’s hope you can fix this @115858. @AppleSupport Thank you for responding. This neon green line from top to bottom of screen appeared. I already scheduled an appointment at the Apple store. https://t.co/QdP7035E7r @AppleSupport Got it all resolved. Staff at the @115858 Store in Georgetown in Washington DC were excellent and very helpful. Thanks!,"@155691 We're glad you're here. Please tell us what's going on with your iPhone X, we'll lend a hand. You can reach us in DM at the link below. https://t.co/GDrqU22YpT",CLEARLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_001705,652923,AUDIO_SOUND_SPEAKER,"@AppleSupport my iPhone has a weird white/grey line that goes from the bottom to the middle of the screen, and the volume box is stuck in the middle of the screen. How do I troubleshoot/fix this? @AppleSupport Thanks! I’ve restarted it a few times and my software version is 10.0.1",2,CASE_000723,AUDIO_SOUND_SPEAKER,0.6304,@AppleSupport i absolutely hate the volume control with the new IOS is is completely unresponsive. How donyou fix this? It doesnt work!!! @AppleSupport Iphone 6 and the latest updated IOS. Its been completely messed up @AppleSupport These little alien hieroglyphs im sure look neat but seriously lack practicality. https://t.co/ymnF5U3Cs3 @AppleSupport The controls for the volume are on the same axis as the entire screen so it gets confused when i try to adjust the volume with the screen,@194336 We'd like to help. Which device and iOS version are you experiencing this issue on? @194336 The Control Center has changed a bit in iOS 11. Check out this article to learn more: https://t.co/vodH4madjc,PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_001705,652923,AUDIO_SOUND_SPEAKER,"@AppleSupport my iPhone has a weird white/grey line that goes from the bottom to the middle of the screen, and the volume box is stuck in the middle of the screen. How do I troubleshoot/fix this? @AppleSupport Thanks! I’ve restarted it a few times and my software version is 10.0.1",3,CASE_002072,GENERAL_DEVICE_INQUIRY,0.6083,"Hey @115858. Can you help? Just got my iPhone X and this is the 2nd time this has happened! What is this weird box?? https://t.co/xqozSV6WT4 @AppleSupport No, it doesn’t seem to.  I think i figured it out? I went to accessibility and turned off the zoom. It was like a magnifying glass. @AppleSupport Is that what it was?",@317442 We can work together on this. Does this happen after using a particular app or receiving a message/alert? @317442 With Zoom enabled it lets you magnify the screen. For more info check out this article. https://t.co/1RPVaXBzYT,PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_006022,2309065,AUDIO_SOUND_SPEAKER,"Has anyone else noticed since updating your #iOS that your alarm is sooo quiet?? I’m afraid I’m going to sleep through it even though my volume is all the way up! @115858 #applechat #iphone @AppleSupport Texts, calls and music have been normal. Someone suggested going to settings to try ‘change with buttons’ so I’ll try that and see if it helps. Thanks for the response!",1,CASE_004701,OS_UPDATE_SYSTEM_PERFORMANCE,0.7479,So this new iPhone update puts your alarms on silent when you’re phone is on silent...@115858 are you trying to fuck up my life? @AppleSupport Thanks bbz x,@539553 Let's get to the bottom of this. Which version of iOS are you on? You can find that in Settings &gt; General &gt; About. Reply in DM. https://t.co/nYknMGviju,PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_006022,2309065,AUDIO_SOUND_SPEAKER,"Has anyone else noticed since updating your #iOS that your alarm is sooo quiet?? I’m afraid I’m going to sleep through it even though my volume is all the way up! @115858 #applechat #iphone @AppleSupport Texts, calls and music have been normal. Someone suggested going to settings to try ‘change with buttons’ so I’ll try that and see if it helps. Thanks for the response!",2,CASE_001849,OS_UPDATE_SYSTEM_PERFORMANCE,0.7065,@AppleSupport since update my alarm comes on very loud and no longer has a setting for a nice subtle wake up - scares the 💩 out of me,@296041 Let's work to look into this together. Reach out to us in DM and we'll be happy to help. We look forward to working with you. https://t.co/GDrqU22YpT,CLEARLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_006022,2309065,AUDIO_SOUND_SPEAKER,"Has anyone else noticed since updating your #iOS that your alarm is sooo quiet?? I’m afraid I’m going to sleep through it even though my volume is all the way up! @115858 #applechat #iphone @AppleSupport Texts, calls and music have been normal. Someone suggested going to settings to try ‘change with buttons’ so I’ll try that and see if it helps. Thanks for the response!",3,CASE_000078,GENERAL_DEVICE_INQUIRY,0.6902,God damn you @115858 my phone isn’t ringing out loud after the recent iOS upgrade and I’m losing business!  #pleasefix @AppleSupport Hi @AppleSupport I googled the problem and turns out do not disturb function had been activated somehow unbeknown to me.  Thank you for help,@124312 We'd like to help you! Are you experiencing sound issues with any apps besides the Phone app? @124312 We're glad you were able to get it fixed. You're very welcome!,PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_007670,2863567,AUDIO_SOUND_SPEAKER,"I wanted to say the #iPhoneX is awesome but I can’t. It sucks; no one can hear me &amp; it does not play voicemails. Stores won’t take it back. @AppleSupport @115858 @115714 @AppleSupport Thank you, will do right now.",1,CASE_003532,GENERAL_DEVICE_INQUIRY,0.7358,Trust me y'all don't won't the #iphonex what the hell is this @AppleSupport ??? https://t.co/DITREaPPpP,"@476175 The Accessibility feature, Voice Over, has been enabled. Follow these steps to disable it: https://t.co/p5K3tcjbCl",PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_007670,2863567,AUDIO_SOUND_SPEAKER,"I wanted to say the #iPhoneX is awesome but I can’t. It sucks; no one can hear me &amp; it does not play voicemails. Stores won’t take it back. @AppleSupport @115858 @115714 @AppleSupport Thank you, will do right now.",2,CASE_007044,GENERAL_DEVICE_INQUIRY,0.7324,@AppleSupport why can’t I listen to my voicemails. Haven’t been able to since I got my iPhone X https://t.co/AyrrrzGgME,"@711167 We want to be sure you can access your voicemail as you'd expect. We can help! Do you have the same results after you restart your iPhone? 
Which iOS are you running? You can go to Settings &gt; General &gt; About to locate the version.",PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_007670,2863567,AUDIO_SOUND_SPEAKER,"I wanted to say the #iPhoneX is awesome but I can’t. It sucks; no one can hear me &amp; it does not play voicemails. Stores won’t take it back. @AppleSupport @115858 @115714 @AppleSupport Thank you, will do right now.",3,CASE_001647,GENERAL_DEVICE_INQUIRY,0.6754,Just got the #iPhoneX. Major problem / #bug #1: it won’t let me enter phone numbers to text / message people. Like....wut. #apple @115858 @AppleSupport #nonewfriends I guess? https://t.co/vaaIq7dW8E,"@160650 That's very strange that the numbers keep clearing. Let's look into why your iPhone doesn't want you to text! Is this a consistent issue or does it come and go? Also, what iOS version is installed? It's under Settings &gt; General &gt; About.",PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_002606,1080456,BATTERY_CHARGING_POWER,Ok now that iOS 11 is out how do I turn off auto brightness @AppleSupport @AppleSupport I know how to do that but my brightness automatically goes up and down and it’s killing my battery I remember you could turn it off @AppleSupport Thank you,1,CASE_002444,DISPLAY_TOUCH_SCREEN,0.8147,"since updating to iOS 11, my iPhone adjusts the brightness automatically which I don’t want. Please tell me how to stop this @AppleSupport",@357242 We can help. You'll find it here. Settings &gt; General &gt; Accessibility &gt; Display Accommodations &gt; Auto-Brightness,PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_002606,1080456,BATTERY_CHARGING_POWER,Ok now that iOS 11 is out how do I turn off auto brightness @AppleSupport @AppleSupport I know how to do that but my brightness automatically goes up and down and it’s killing my battery I remember you could turn it off @AppleSupport Thank you,2,CASE_007869,DISPLAY_TOUCH_SCREEN,0.8085,".@AppleSupport - please give us the option to turn off the automatic brightness adjustment on iOS 11. 

the auto adjusting feature is either too sensitive or glitchy. it is constantly shifting the brightness level, and it is wrecking my vision. 

thanks! @AppleSupport sweet, sweet relief. thank you, kind person.",@817574 If you go into Accessibility &gt; Display Accomodations you will see it there.,PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_002606,1080456,BATTERY_CHARGING_POWER,Ok now that iOS 11 is out how do I turn off auto brightness @AppleSupport @AppleSupport I know how to do that but my brightness automatically goes up and down and it’s killing my battery I remember you could turn it off @AppleSupport Thank you,3,CASE_004836,BATTERY_CHARGING_POWER,0.8055,@AppleSupport hi on iPhones can you please give back the option to turn auto-brightness (OFF) on? This always on kills my battery @AppleSupport Ok cool it was just hiding from me lol! Thanks,@386969 You can find that under Settings &gt; General &gt; Accessibility &gt; Display Accommodations. Let us know if you still can't find it. @386969 No problem. Feel free to reach out if you have any other questions.,PARTIALLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_007318,2736427,BATTERY_CHARGING_POWER,"@AppleSupport How come with the new updates the iPod never fully charged (only gets to 99%) &amp; the battery drains in less than 2 hours? @AppleSupport iOS 11.1.2 &amp; I think iPod Touch 6th generation @AppleSupport There’s no message. @AppleSupport Thanks. However, the battery still only charges to 99%.",1,CASE_002148,BATTERY_CHARGING_POWER,0.7262,Battery drain issue with the latest iOS update 11.0.2 @AppleSupport #ios11 - been two hours since my last charge - iPhone at 79% 😕 @AppleSupport I’ve sent you a DM @AppleSupport Thanks!,@182738 Thanks for reaching out! This article explains how to maximize battery life: https://t.co/bivpdfBNJ6 DM us if issue persists. https://t.co/GDrqU22YpT @182738 We received your DM. Please have a look there for our response.,CLEARLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_007318,2736427,BATTERY_CHARGING_POWER,"@AppleSupport How come with the new updates the iPod never fully charged (only gets to 99%) &amp; the battery drains in less than 2 hours? @AppleSupport iOS 11.1.2 &amp; I think iPod Touch 6th generation @AppleSupport There’s no message. @AppleSupport Thanks. However, the battery still only charges to 99%.",2,CASE_000393,BATTERY_CHARGING_POWER,0.7188,@AppleSupport after the new update my phone battery won’t last more than 2 hours on a full charge. HELP!! @AppleSupport iOS 11.0.2,@160255 We can help. Can you tell us which version of iOS 11 your device is on? That can be found in Settings &gt; General &gt; About. @160255 We want your iPhone to be charged when you need it. Check out these tips to optimize your battery life: https://t.co/TpjqFp3jxD,PARTIALLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_007318,2736427,BATTERY_CHARGING_POWER,"@AppleSupport How come with the new updates the iPod never fully charged (only gets to 99%) &amp; the battery drains in less than 2 hours? @AppleSupport iOS 11.1.2 &amp; I think iPod Touch 6th generation @AppleSupport There’s no message. @AppleSupport Thanks. However, the battery still only charges to 99%.",3,CASE_006668,BATTERY_CHARGING_POWER,0.7058,"@AppleSupport iOS 11 is the worst ever update I’ve done that impacts battery life. My 6S needs to be charged twice a day now! @AppleSupport Thanks. 11.1.1. iPhone 6S @AppleSupport About a week ago, but the same was happening with 11.0 for a few weeks. @AppleSupport These are just generic tips. My issue is simply: iOS 10 = all day battery life, iOS 11 = half day battery life, all other things being equal. Isn’t this a known issue and @115858 is fixing it in a later iOS 11 release?","@713095 Let's take a look at this issue together. Which exact iOS 11 version is your device currently running? We want to make sure that you're running the latest version. You can check this through Settings &gt; General &gt; About. @713095 Thanks. How long ago did you update your device to iOS 11.1.1? @713095 Thanks for letting us know. The next best step would be to go through all the steps that we offer in our support article, maximizing battery life: https://t.co/bivpdfBNJ6

Afterwards, please fully charge your device and monitor the behavior over the next day or so. @713095 We definitely want to get to the bottom of this for you. Let's take a closer look at things in DM. Please message us there: https://t.co/GDrqU22YpT",CLEARLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_005780,2285584,BATTERY_CHARGING_POWER,iOS 11 is great for battery life: NOT! 10% per hour on low power mode. Don’t upgrade.   @115858 its terrible!! @AppleSupport @115858  thanks for reply. V11.1.1 (15B150).  I read the first few days it drains due to cache updates? Welcome your help!,1,CASE_001925,BATTERY_CHARGING_POWER,0.8875,hey @AppleSupport the battery life on iOS11 is dreadful! Have upgraded to 11.0.2 but still terrible!,"@303272 We know how important a reliable battery is. Check out this article and let us know what you think.
https://t.co/TpjqFp3jxD",PARTIALLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_005780,2285584,BATTERY_CHARGING_POWER,iOS 11 is great for battery life: NOT! 10% per hour on low power mode. Don’t upgrade.   @115858 its terrible!! @AppleSupport @115858  thanks for reply. V11.1.1 (15B150).  I read the first few days it drains due to cache updates? Welcome your help!,2,CASE_003439,BATTERY_CHARGING_POWER,0.8622,Hey @AppleSupport what happened with this iOS 11? Since the upgrade the battery life deteriorated a lot. 30h then 8h now. @AppleSupport 11.0.3 on SE 128 GB. Thanks for the fast response!,"@464653 We'd love to discuss this further with you.  Which version of iOS 11 are you using, and on what device? @464653 You're most welcome.  Please DM us and let's look into this further together. https://t.co/GDrqU22YpT",PARTIALLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_005780,2285584,BATTERY_CHARGING_POWER,iOS 11 is great for battery life: NOT! 10% per hour on low power mode. Don’t upgrade.   @115858 its terrible!! @AppleSupport @115858  thanks for reply. V11.1.1 (15B150).  I read the first few days it drains due to cache updates? Welcome your help!,3,CASE_001869,BATTERY_CHARGING_POWER,0.8419,"Dear @115858 !
The iOS11 is very beautiful but the battery life is terrifyingly bad. This is the worst battery life ever on my iPhone. 😢😕 @AppleSupport Thank you! Of course, some of it helped. But still, with this iOS my phone isn’t have the same battery life as with the latest iOS 10. 😕","@298307 We'd like to help with this. Have you tried any of the suggestions here: https://t.co/bivpdfBNJ6 Let us know if this helps. @298307 So we can take a closer look at this, let's pair up in DM: https://t.co/GDrqU22YpT",CLEARLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_000245,119483,BATTERY_CHARGING_POWER,@AppleSupport can you tell me why the new updates now make my iphone6s die at 40% battery? Or if charged overnight to 100% it dies as soon as its unlocked @AppleSupport Thanks for looking into this for me. I’m using iOS version 11.1.2(15B202),1,CASE_005109,BATTERY_CHARGING_POWER,0.7901,iPhone 6 battery now dieing super fast . Why oh why @AppleSupport @AppleSupport thanks just private messaged!,"@554388 Hey, we can take a look into the battery life with you. Please DM us the exact iOS version and we'll take it from there. https://t.co/GDrqU22YpT",PARTIALLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_000245,119483,BATTERY_CHARGING_POWER,@AppleSupport can you tell me why the new updates now make my iphone6s die at 40% battery? Or if charged overnight to 100% it dies as soon as its unlocked @AppleSupport Thanks for looking into this for me. I’m using iOS version 11.1.2(15B202),2,CASE_001087,GENERAL_DEVICE_INQUIRY,0.766,@AppleSupport why does iphone batteries die so quickly? 🤔 @AppleSupport Thanks lol I was using an iPhone 6 Plus and I’m upgrading soon to the 8 @AppleSupport I’m using the 6 Plus right now lol,"@232099 We're happy to help with your battery. Which software version are you using? Also, please try the steps here for maximizing your battery life: https://t.co/bivpdfBNJ6 @232099 We'd like to help out in any way we can. Are you still currently using the iPhone 6? Plus? @232099 What version of iOS are you running? Find that in Settings &gt; General &gt; About.",PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_000245,119483,BATTERY_CHARGING_POWER,@AppleSupport can you tell me why the new updates now make my iphone6s die at 40% battery? Or if charged overnight to 100% it dies as soon as its unlocked @AppleSupport Thanks for looking into this for me. I’m using iOS version 11.1.2(15B202),3,CASE_001632,BATTERY_CHARGING_POWER,0.7574,"Updated my 6s to IOS 11.1.2 during the night. This morning my phone died with 64% battery. No @115858 I'm not paying 1000$ for your new iPhone X. @AppleSupport Thanks for the link, I'll check it out. I just find it curious that my battery life changed so drastically after the software update 🤷🏽‍♀️",@268708 We want to help with your battery life. Have you checked our steps here? https://t.co/bivpdfBNJ6 @268708 Let us know if this doesn't help. We'll take if from there.,PARTIALLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_006394,2412963,CONNECTIVITY_WIFI_BLUETOOTH,"@AppleSupport 11.1.1 update. Wi-fi no longer works. Can't toggle it on. @AppleSupport @AppleSupport iphone 5s @AppleSupport Yes, after 11.1.1. Option is greyed out. Unable to turn on in Control Center and in settings. Thank you. @AppleSupport yes, and force restart, and reset network settings",1,CASE_004915,CONNECTIVITY_WIFI_BLUETOOTH,0.811,"@AppleSupport After updating to iPhone 6s to IOS 11.0.3, wifi option is permanently disabled and not able to start my wifi  now. @578972 @AppleSupport I just updated in 6.working fine","@578972 We'd like to help. Let's start here: https://t.co/bWm9giK0jB Keep us posted with the results. @578971 To clarify this for our end, are you experiencing this still on your 6S, but not on your 6? Let us know via DM. https://t.co/GDrqU22YpT",CLEARLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_006394,2412963,CONNECTIVITY_WIFI_BLUETOOTH,"@AppleSupport 11.1.1 update. Wi-fi no longer works. Can't toggle it on. @AppleSupport @AppleSupport iphone 5s @AppleSupport Yes, after 11.1.1. Option is greyed out. Unable to turn on in Control Center and in settings. Thank you. @AppleSupport yes, and force restart, and reset network settings",2,CASE_005608,CONNECTIVITY_WIFI_BLUETOOTH,0.7922,"@AppleSupport updated my iPhone 7plus to iOS 11 and it started to switch wifi network and connect to wifi after I turned it off.any ideas? @AppleSupport Yes, I do. @AppleSupport Thanks for your help 🙏🏻 @AppleSupport @657146 that’s the solution for the issue we talked about earlier. 😂😅 @656923 @AppleSupport I'll let everyone know 😂","@656923 Hey there, we're happy to help! 

Are you using Control Center to disconnect from Wi-Fi? @656923 Got it. When you use Control Center to disconnect Wi-Fi, your device will immediately disconnect from any connected Wi-Fi networks, but the Wi-Fi remains active. 

If you want to completely disable Wi-Fi, go to Settings &gt; Wi-Fi and turn off Wi-Fi. @656923 You're welcome. Have a great day!",PARTIALLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
