case_id,customer_message,true_intent,predicted_intent,intent_confidence,top_similarity,intent_alignment,grounding_pass,grounding_severity,draft_reply,decision,reason_code,reason,ground_truth_label,ground_truth_rationale,classification_type,human_reference_label,human_rationale
CASE_001884,@AppleSupport can I get rid of the new update? It has seriously messed up my phone. It freezes every few minutes and I cant hear phone calls @AppleSupport I have an iphone 6 and yes I have the latest version of the iOS 11 update.,AUDIO_SOUND_SPEAKER,OS_UPDATE_SYSTEM_PERFORMANCE,0.4571810293374798,0.8328,1.0,True,NONE,We'd like to help get this sorted out. We'd be happy to look into these issues with you. Send us a DM and we'll continue there. https://t.co/GDrqU2kzhr Let us know if you have any questions along the way.,ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.4572) is below the validated confidence threshold (0.60).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_004856,"@AppleSupport Hi.Updated from iPhone 5 to 8 &amp; now cannot connect headphones 🎧 to 8 via Bluetooth never had probs on 5. What’s gone wrong? @AppleSupport hi I worked from this menu b4 I contacted you. All up to date, turned off/on Btooth phone on/off even did network reset @AppleSupport 
Current version iOS 11.0.3",AUDIO_SOUND_SPEAKER,CONNECTIVITY_WIFI_BLUETOOTH,0.5709187810520553,0.764,0.6667,True,NONE,"We'd like to help get this sorted out. We're here to help. Have you tried connecting to another Bluetooth enabled device to check and see if this issue is happening with all Bluetooth connections? Thanks for checking that out. Let's move to DM and continue there. https://t.co/GDrqU22YpT Great! We're glad it's working for you now. If you need anything else, please let us know. Let us know if you have any questions along the way.",ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.5709) is below the validated confidence threshold (0.60).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_006609,@115858 would I be asked to verify my bank details and personal details suddenly? Is this legitimately @AppleSupport how do I know it’s not a #hack? @AppleSupport Thank you.,HOW_TO_SETTINGS_CONFIGURATION,GENERAL_DEVICE_INQUIRY,0.21819237568344466,0.7485,1.0,True,NONE,We'd like to help get this sorted out. We'll do everything we can to help! That looks like it may be a phishing attempt. See this article: https://t.co/LNMCdqbuR3 Let us know if you have any questions along the way.,ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.2182) is below the validated confidence threshold (0.60).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_007689,@AppleSupport I would like to report a spam email I just received regarding my apple account. Let me know where can I Foward the email. #Apple #Spam https://t.co/yn2f1nFIHU @AppleSupport Thanks for your quick response! 😉,HOW_TO_SETTINGS_CONFIGURATION,ACCOUNT_APPLEID_ICLOUD,0.43566142879622854,0.8032,0.0,True,NONE,We'd like to help get this sorted out. Yes that would be a phishing attempt. You can read more on that here: https://t.co/6Ye6EtSytB Let us know if you have any questions along the way.,ESCALATE,INTENT_EVIDENCE_MISMATCH,Retrieved evidence intent alignment (0.00%) is below the validated alignment threshold (66.00%).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SHOULD_ESCALATE,Retrieved cases point to divergent intent categories.
CASE_003794,"@AppleSupport hey Apple, how do I uninstall an iMessage application?",HOW_TO_SETTINGS_CONFIGURATION,GENERAL_DEVICE_INQUIRY,0.268167450606552,0.6239,0.6667,True,NONE,"We'd be happy to help with this. We're happy to assist. Which iOS 11 version are you currently running? Go to Settings &gt; General &gt; About for the version. Are you having issues sending iMessages, receiving iMessages or both? Are you seeing any error messages? Let us know if this helps resolve the issue.",ESCALATE,WEAK_EVIDENCE,Top retrieval similarity (0.6239) is below the validated quality threshold (0.65).,SHOULD_ESCALATE,Retrieved evidence does not match customer's problem intent.,TRUE_ESCALATE,SHOULD_ESCALATE,Retrieved historical evidence is too generic or weakly related.
CASE_003206,@AppleSupport why does my phone always act up every time Apple releases a new phone? Why? @AppleSupport I have an iPhone 6. My apps keep force closing. My podcast library keeps having to be restored. My text thread is out of order. @AppleSupport My calls keep deleting. Messages that I send delete from the thread. @AppleSupport And there isn't any internal damage. And I cannot figure out how to use these dang .99 storage I pay for @AppleSupport No. I haven't been able to because of storage issues. But I pay for extra storage so I don't understand. @AppleSupport What is the point of buying more storage then? @AppleSupport This is a scam lol thanks friends,HOW_TO_SETTINGS_CONFIGURATION,APP_STORE_PURCHASES_BILLING,0.165531619366548,0.6281,0.0,True,NONE,We'd like to help get this sorted out. We'd love to assist you with any issues that you're having. Which device and software version are you using? Please click here to join us in DM and we'll continue there: https://t.co/GDrqU22YpT That's not the type of experience that we'd like for you to have. We'd love to look into this. Join us in DM here: https://t.co/GDrqU22YpT Let us know if you have any questions along the way.,ESCALATE,CONFLICTING_EVIDENCE,Retrieved historical evidence contains conflicting troubleshooting paths or fragmented intents.,SHOULD_ESCALATE,Retrieved evidence does not match customer's problem intent.,TRUE_ESCALATE,SHOULD_ESCALATE,Retrieved historical evidence is too generic or weakly related.
CASE_004921,@1313 hello do you support any more @115858 watch? Because crashing all time and is slow!! @579587 @1313 @115858 I’ve been asking the same question over and over again..no response yet..really frustrating we're not receiving support on this platform @AppleSupport The problem is not with your product...it's with a third party app that runs slow and buggy on the Apple Watch...thanks for your response!,APP_CRASH_AND_DOWNLOAD,APP_CRASH_AND_DOWNLOAD,0.3960246159540253,0.7234,0.3333,True,NONE,"We'd like to help get this sorted out. We're happy to help. Did this issue just start? Have you done any additional steps to try to resolve this issue? https://t.co/GDrqU22YpT Since the device restarted, have you seen the issue occur? Send us a DM, and we'll continue there. https://t.co/GDrqU22YpT Let us know if you have any questions along the way.",ESCALATE,INTENT_EVIDENCE_MISMATCH,Retrieved evidence intent alignment (33.33%) is below the validated alignment threshold (66.00%).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SHOULD_ESCALATE,Retrieved cases point to divergent intent categories.
CASE_002027,@AppleSupport My iPhone 6s froze twice after closing from my messages and trying to open up Instagram. Had to hard-shut off. Any tips? @AppleSupport iOS 11.0.2 @AppleSupport Thanks! Didn’t know there was a new Update!,APP_CRASH_AND_DOWNLOAD,OS_UPDATE_SYSTEM_PERFORMANCE,0.4715982409509854,0.7571,0.3333,True,NONE,We'd like to help get this sorted out. We’re here to address the issues you're experiencing. Which apps are freezing? Let us know in DM. https://t.co/GDrqU22YpT Let us know if you have any questions along the way.,ESCALATE,CONFLICTING_EVIDENCE,Retrieved historical evidence contains conflicting troubleshooting paths or fragmented intents.,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SHOULD_ESCALATE,Retrieved cases point to divergent intent categories.
CASE_001824,"@115858 why is my phone constantly freezing? help?? @AppleSupport Like i’ll be watching youtube and every 5 minuets it freezes my phone and i have to turn lock the phone again, for it to take another 2 minuets for the lockscreen to work and let me on the phone. it’s never happened before so i don’t think it’s a problem with the phone. :| @AppleSupport No not really. @AppleSupport Thanks!!",APP_CRASH_AND_DOWNLOAD,AUDIO_SOUND_SPEAKER,0.1521375359401031,0.7671,0.0,True,NONE,"We'd like to help get this sorted out. Thank you for reaching out. We're here to help. What issues are you experiencing? https://t.co/GDrqU22YpT We want to help. Does this happen with certain apps? When it becomes unresponsive, how long does it normally take for everything to start working again? Also, which iOS is on the iPhone? You can find out by going to Settings &gt; General &gt; About Let us know if you have any questions along the way.",ESCALATE,CONFLICTING_EVIDENCE,Retrieved historical evidence contains conflicting troubleshooting paths or fragmented intents.,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SHOULD_ESCALATE,Retrieved cases point to divergent intent categories.
CASE_005069,"Why is my phone still getting stuck in apps and freezing. I’ve been stuck in whatsapp for 50 million minutes 😤 @115858 #iphone @599989 @115858 have you done a hard reset? @599990 @115858 I’ve done everything apart from throwing it against the wall mate 😐 @AppleSupport Thanks, message sent.",APP_CRASH_AND_DOWNLOAD,APP_CRASH_AND_DOWNLOAD,0.47192357148203823,0.6944,0.3333,True,NONE,"We'd be happy to help with this. We want you to be able to use your apps, and we'd like to help. Just to confirm, after the WhatsApp update, the app closed unexpectedly? Have you had a chance to restart your iPhone since then? We're glad to hear your issue is resolved. If you have any other issues with your device, let us know and we'll be happy to help! Let us know if this helps resolve the issue.",ESCALATE,CONFLICTING_EVIDENCE,Retrieved historical evidence contains conflicting troubleshooting paths or fragmented intents.,SHOULD_ESCALATE,Retrieved evidence does not match customer's problem intent.,TRUE_ESCALATE,SHOULD_ESCALATE,Retrieved cases point to divergent intent categories.
CASE_002891,"Question: if you have DVDs, and they don’t include a digital copy, can you still load them on iTunes? @AppleSupport @AppleSupport Thanks anyway, on a side note, does anyone have use for 250+ dvds?",APP_STORE_PURCHASES_BILLING,APP_STORE_PURCHASES_BILLING,0.35355269043386334,0.5346,0.6667,True,NONE,"We'd be glad to look into this with you. To help us provide the right steps, could you let us know which device model and iOS version you're currently using?",ESCALATE,EVIDENCE_INSUFFICIENT,"Retrieved historical evidence is insufficient to formulate an actionable resolution, requiring diagnostic customer clarification or human intervention.",SHOULD_ESCALATE,Historical retrieval evidence similarity is too weak.,TRUE_ESCALATE,SHOULD_ESCALATE,Retrieved historical evidence is too generic or weakly related.
CASE_005556,@118721 @AppleSupport I’ve been trying to buy an album for half an hour now and it’s just coming up with the square?????? https://t.co/ghctrcs0yx,APP_STORE_PURCHASES_BILLING,APP_STORE_PURCHASES_BILLING,0.2637166381503262,0.6961,1.0,True,NONE,"We'd be happy to help with this. We know it's exciting to listen to new music from your favorite artists, and we want to help. It looks like the content you're trying to add isn't available for streaming on Apple Music. You'll want to purchase that content through the iTunes Store app first. We're glad to hear that. Feel free to reach out again if you need us. Enjoy the rest of your day! Let us know if this helps resolve the issue.",ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.2637) is below the validated confidence threshold (0.60).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_007907,Until this issue is resolved I will tweet @115948 and @115858 daily. I want to be able to use my Apple Music app! I need my music! And I pay $14.99/month!,APP_STORE_PURCHASES_BILLING,APP_STORE_PURCHASES_BILLING,0.8947046469171506,0.7381,1.0,True,NONE,We'd be happy to help with this. Thanks for reaching out to us. We are always happy to help. Can you tell us what's going on with your Music app? Thanks for following up. Let us know if anything else comes up. Let us know if this helps resolve the issue.,AUTO_HANDLE,STRONG_GROUNDED_EVIDENCE,Intent confidence and retrieval evidence exceed validated thresholds and the independent grounding check passed with no unsupported claims.,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,TRUE_AUTO_HANDLE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_000151,"Please help me @115858 
My iPhone constantly plays songs on random and I’ve no idea why! @AppleSupport 11.0.2 @AppleSupport It’s seems to work fine but just plays all songs on shuffle, even if I press the first song on an album.",APP_STORE_PURCHASES_BILLING,APP_STORE_PURCHASES_BILLING,0.22342330511974362,0.6521,0.6667,True,NONE,"We'd like to help get this sorted out. Let's sort this out together. Which iPod are you currently experiencing this with? Also, which iOS version is installed? Have you been able to restart the iPod or force restart? If not, please restart now. See this article on how to restart the iPod: https://t.co/hZJPDcApfY Let us know if you have any questions along the way.",ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.2234) is below the validated confidence threshold (0.60).,SHOULD_ESCALATE,Retrieved evidence does not match customer's problem intent.,TRUE_ESCALATE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_000470,Also @115858 fix your damn glitch I️ @AppleSupport Okay thank you 😂,OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,0.28571221512666883,0.8825,0.3333,True,NONE,We'd like to help get this sorted out. Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 You're welcome. Enjoy the rest of your day. Let us know if you have any questions along the way.,ESCALATE,CONFLICTING_EVIDENCE,Retrieved historical evidence contains conflicting troubleshooting paths or fragmented intents.,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SHOULD_ESCALATE,Retrieved cases point to divergent intent categories.
CASE_003726,Fix this glitch please @115858 @486433 @115858 Question mark thing? @486436 @115858 Yes and this I️ thing @486433 @115858 Dawg..... I️ thought I️ was tripping,OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,0.40751274363198325,0.8214,0.6667,True,NONE,We'd like to help get this sorted out. We have some great news. We've recently released iOS 11.1.1 which should address the autocorrect issue. You can read more here: https://t.co/xXaXeeSRt9 You're welcome! Feel free to reach out to us here if you have questions in the future. Let us know if you have any questions along the way.,ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.4075) is below the validated confidence threshold (0.60).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_000259,"@AppleSupport hi there, I sent an iTunes gift for my friend. This morning he lost it with no reason and can’t find it anywhere. Please help. @AppleSupport Thank you!",APP_STORE_PURCHASES_BILLING,APP_STORE_PURCHASES_BILLING,0.41446243853034653,0.6494,1.0,True,NONE,We'd be happy to help with this. We definitely want to get you back to enjoying Apple Music. Let's see what's going on. What were you doing when this happened? Let us know if this helps resolve the issue.,ESCALATE,WEAK_EVIDENCE,Top retrieval similarity (0.6494) is below the validated quality threshold (0.65).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SHOULD_ESCALATE,Retrieved historical evidence is too generic or weakly related.
CASE_002795,"Umm. How the hell will I recover my account @AppleSupport? I literally forgot everything except my Apple ID. @AppleSupport Thank you. I was trying to access my account through an hp laptop because my dumb self also forgot my iPad password. I am done for,",ACCOUNT_APPLEID_ICLOUD,ACCOUNT_APPLEID_ICLOUD,0.9571463595462113,0.7632,0.6667,True,NONE,"We'd like to help get this sorted out. We'd like to help. Have you tried resetting the Apple ID through our website? Check out this article: https://t.co/ZTde7mzxXQ As the attempt to reset your Apple ID was unsuccessful, we suggest reaching out to to us via this link: https://t.co/UJm15vmMM2 Let us know if you have any questions along the way.",AUTO_HANDLE,STRONG_GROUNDED_EVIDENCE,Intent confidence and retrieval evidence exceed validated thresholds and the independent grounding check passed with no unsupported claims.,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,TRUE_AUTO_HANDLE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_006258,@115858 i updated my phone and the “i” is still doing the thing. fix it.,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,0.4238391010265151,0.9132,0.6667,True,NONE,"We'd be happy to help with this. Is it happening when you type, or just when you see other people type? If it's the latter, then the other people would need to update their devices. Okay, and what software version is the device currently running? Find that by navigating to Settings &gt; General &gt; About. Let us know if this helps resolve the issue.",ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.4238) is below the validated confidence threshold (0.60).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_007327,Why the hell has my phone deleted all my contacts?! @AppleSupport,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,0.25361859447697715,0.803,0.6667,True,NONE,"We'd be happy to help with this. We'll help in any way we can. At Settings &gt; General &gt; About &gt; Available, how much space is listed? We're glad to hear it's sorted. Let us know if this helps resolve the issue.",ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.2536) is below the validated confidence threshold (0.60).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
