query,actual_intent,predicted_intent,confidence,top_3_intents,top_3_scores,error_category
"I’m assuming someone has told @115858 that the latest iOS update is terrible @342218 @115858 My phone and iPad have turned into very expensive paperweights. @342218 @115858 I’ve had a lot of performance issues @342218 @115858 Having troubles with my iPhone immediately after updating. Phone sticks when texting, trying to get voicemail etc @342218 @115858 @115858 fix your release or my next phone is a Samsung. Planned obsolescence = ecological irresponsibility @342218 @115858 Does anyone else have their apps pop open randomly? @342218 @115858 What’s so terrible about giving my phone battery such an exercise and constantly rotating to the wrong screen orientation??? @342218 @115858 Yeah, my battery drains so much faster after the update @342218 @115858 Amen. Any fix for the battery drain? @342218 @115858 It’s terrible. So many bugs still. Can’t get the fix updates right either. @115858....get it together. @342218 @115858 Enlarged pics in apps won’t return to normal size. @342218 @346741 @115858 It is awful. Phone is hypersensitive. Constantly closing apps and shifting screens @342218 @115858 And by the way, six of my apps (from the App Store) no longer work because this new iOS has decided they're no longer compatible. @342218 @115858 The new update literally sucks. It has made my phone so effin slow. @342218 @115858 Two iPhones here suffering from severe battery drain since updating to iOS 11, not to mention the dozens of bugs. No fix in sight. @342218 @351248 @115858 The iOS update totally screwed up my phone! I plug it into my Bluetooth in my car and nothing comes through the system. Ready to dump it @342218 @115858 Phone so slow. Dead battery in 8 hours. COGNOS no longer works on iPad. Bad juju @342218 @351248 @115858 Love that the sideways screen never turns back around. @342218 @43925 @115858 FIOS Mobile and CNN Live don’t function properly on my iPad if i’m away from home...either won’t play or I get the apps to play, shuts down. @342218 @351248 @115858 Has anyone had any problems with text messages coming through and recent calls not updating @342218 @43925 @115858 Wow, my battery drains super fast after updating and I thought it was just me @342218 @351248 @115858 I would love to tell @115858 IOS 11 is terrible but my phone locked up when I loaded it. @342218 @115858 Sucks the battery. I could go a whole day before now I’ve got it in the charger 2-3 times a day. Ughhhh. @342218 @115858 @AppleSupport can we please have our ringtones back? @AppleSupport @342216 Alarm clock won't work. Battery dies. I refused update @AppleSupport Sounds like a plan @AppleSupport Love the new location btw https://t.co/HDyzUySM4g @AppleSupport @325308 My phone just shuts it self down for no reason @AppleSupport @325308 It will not go to the next one...stays on the one you just listened to 😡 @AppleSupport I’m using the only keyboard I’ve ever known. It’s not an external it’s the one that comes up when you wanna text @AppleSupport @325308 I’m having a problem with my gmail notifications not updating. It’s always wrong. Tells me I have new emails when I don’t. @AppleSupport @325308 My new iPad Pro is glitching from simple stuff like multiple app drag and drop function, to orientation issues. @AppleSupport @325308 My phone battery is being drained while my Apple charger case is not @AppleSupport @342368 Anyone disappointed in new iPhone 8. Seems like Samsung has been leading after the iPhone 6 @AppleSupport @342368 Should we turn off background refresh? @AppleSupport @342368 Messenger app keeps freezing @AppleSupport @342368 Due to the update, for the first time ever I looked into getting a Samsung. @AppleSupport iPad orientation does not move when the iPad does any longer,  charge don’t last, podcast update is horrible @AppleSupport @342368 Everyone is listing their issues just start reading @AppleSupport!!! @AppleSupport @342368 I have a 6s and am not updating till I read positive reviews on updates or newer phone models.  No DM's necessary. @AppleSupport @342368 My camera keeps switching itself back to live mode even after I turn it off. Live mode won't stay off. @AppleSupport @342368 My Acura no longer downloads my phones address book. @AppleSupport @561553 Gah! @AppleSupport @561553 The public isn't your QA team. These issues should be worked out before official release. All that money and you release a beta version. @AppleSupport @561553 AYFKM? People are CLEARLY tweeting about the issues they are experiencing. You must have been getting tech data from hundreds of users. @AppleSupport @561553 I’m having big problems since the update. Siri has taken over my phone. She’s calling my contacts and being abusive to them. @AppleSupport @561553 When I read your responses, Apple support, it is in the voice of Hal. @AppleSupport @342744 Same issue here.  Software is up to date. iPhone 6 @AppleSupport @354442 Why do you want a DM? Why not list it here so everyone can benefit from what you have to say? @AppleSupport @354442 Automated reply. I was on the phone with them for two hours – they’re acting like they haven’t heard of this. 🙄 @AppleSupport @354442 I just tried to dm but the same thing keeps happening. My iPhone 7 keeps locking up. Would not send my message to you. Happens in all areas @AppleSupport @354442 The keyboard blocks my texts - can’t see what I’m typing @AppleSupport @354442 @43297 @43298 
#inspiration @AppleSupport @354442 never needed support for my $20 android... no problems... @AppleSupport @354442 Given the original tweet, I’m going to assume that we are all using @115858 devices. Many will be saying ‘were using’ soon if this keeps up. @AppleSupport @354442 This sucks!  Others on our phone plan are now getting all my texts sent to their phones.  Don’t want them seeing my texts @AppleSupport @347208 DM you? Haha @applesupport just do some Google and Twitter searches re this update their are specific complaints EVERYWHERE! #applesucks @AppleSupport @559775 Can’t you just come out with another update to fix this? @AppleSupport Already contacted support by phone. Spent time diagnosing and tried various things, restore as new etc.. Nothing worked on either phone @AppleSupport @563430 It’s your updates it is killing everyone’s battery I have nothing even on anymore I can get thru 3pm without it dying @AppleSupport 6.5 and yes v11.0.3 @AppleSupport 6S and yes, v11.0.3 @342395 @AppleSupport @325308 I had the same issue. It might a problem with the battery. @561556 @AppleSupport @561553 AGREED! Phone manufacturers need to stop using the public as beta testers! @561556 @AppleSupport @561553 Problem is the public is lazy and stupid, and doesn’t bother to learn their device. They are great at complaining though... @342370 @AppleSupport @354442 😊😊😊 That’s exactly what they don’t want, of course. @342370 @AppleSupport @354442 How about telling us how to undo this update!!! It is awful, pics hard to save, email visually difficult, everything is huge! @342370 @AppleSupport @354442 I guess none of you realize you are talking to an AppleBot. @342370 @AppleSupport @354442 their looking for $$$... throw that apple in the dumpster and get an Android... @342370 @AppleSupport @354442 uppity and snooty attitude also... @342370 @AppleSupport @354442 Because if it is a DM then nobody will know if they actually address the issue. @342370 @AppleSupport @354442 Possibly they want the one on one for confidentiality &amp; personal conversation. I’m for that. BTY, my iPhone is running great since update. @342373 @AppleSupport @354442 buy a $20 android... @354440 @AppleSupport @354442 apples new feature... keeps people sharp.... @AppleSupport @342395 Yeah, I DMed you and it didn’t help. @AppleSupport @342395 Hey Apple. Fix the problems not one phone at a time @AppleSupport iOS 11.0.3 @AppleSupport @342368 DM, DM, DM. Why not tell everyone? @AppleSupport @342368 I restart every week. This has not changed the issue @AppleSupport @342368 My iPhone locks up. Won’t let me dm. I typed message to you but locks and won’t send. @561600 @342370 @AppleSupport @354442 throw in nearest dumpster and get an Android... @342373 @AppleSupport @354442 Apple does a great job convincing people they need stuff they don't need... @AppleSupport @354440 Same here! Battery life is terrible @AppleSupport In messaging - can’t see my text - covered by keyboard - also the done button does not work @AppleSupport Yes and I think yes. @342370 @AppleSupport @342368 Just DM them, screenshot it and post it. @AppleSupport @342401 Our entire information technology department has warned us not to upgrade to the latest iOS version. Normally they're nagging us to do it @AppleSupport @342401 APPLE NEEDS TO ANSWER MY DM!! Liars!! @AppleSupport 11.0.3",KEYBOARD_TYPING_AUTOCORRECT,BATTERY_CHARGING_POWER,0.6105,"['BATTERY_CHARGING_POWER', 'AUDIO_SOUND_SPEAKER', 'OS_UPDATE_SYSTEM_PERFORMANCE']","[0.6105, 0.0888, 0.0862]",LEXICAL_OVERLAP_AMBIGUITY
"My ipod is having issues loading songs. Oddly only the songs I didnt rip from CDs are affected.  Well played @115858 well played..... @AppleSupport it's likely my hard drive guys, I've worked with you for weeks to figure it out and nothing seems to fix it.  went as high as a senior staff member.  you guys couldn't find anything wrong with your systems. @AppleSupport I was trying to be witty.  because I'm hoping a new hard drive will fix it.  didn't expect you guys to actually answer  :)  tweeting about my problems in a funny ""poke fun at myself"" way. @AppleSupport Im waiting on black friday deals to get a new HD. Already got a new cord, did diagnostics/virus scan nothing fixed it. Moved library to main drive and it transferred. So gonna try a new external this one is from 2015. @AppleSupport If that doesnt work, I will be back. Because the only things left to replace is the actual computer and the actual ipod. Ipod is almost 2 years old now, computer is maybe 3. @AppleSupport Ipod seems fine, laptop seems fine too after i did all that. So gonna try this approach",APP_STORE_PURCHASES_BILLING,GENERAL_DEVICE_INQUIRY,0.1951,"['GENERAL_DEVICE_INQUIRY', 'APP_STORE_PURCHASES_BILLING', 'OS_UPDATE_SYSTEM_PERFORMANCE']","[0.1951, 0.1545, 0.1233]",MULTI_INTENT_COLLISION
"WTF...I can't switch to my new phone because iTunes says the backup from my iPhone 7 isn't compatible with iPhone X. What gives, @AppleSupport? https://t.co/xfyK4jTdUB",APP_STORE_PURCHASES_BILLING,GENERAL_DEVICE_INQUIRY,0.2704,"['GENERAL_DEVICE_INQUIRY', 'APP_STORE_PURCHASES_BILLING', 'ACCOUNT_APPLEID_ICLOUD']","[0.2704, 0.2475, 0.1151]",MULTI_INTENT_COLLISION
"@AppleSupport my headphones don’t want to work properly since updating to iOS 11, please help @AppleSupport They’re working right now",AUDIO_SOUND_SPEAKER,OS_UPDATE_SYSTEM_PERFORMANCE,0.3338,"['OS_UPDATE_SYSTEM_PERFORMANCE', 'AUDIO_SOUND_SPEAKER', 'APP_STORE_PURCHASES_BILLING']","[0.3338, 0.2678, 0.0761]",LEXICAL_OVERLAP_AMBIGUITY
"Trying to reset a fingerprint and @115858 is unable to read it &amp; asking me to try another finger?!? My thumb is my most used finger wtf FIX THIS APPLE!!!! @AppleSupport thanks, appreciate ya! ✊🏽",DISPLAY_TOUCH_SCREEN,GENERAL_DEVICE_INQUIRY,0.3791,"['GENERAL_DEVICE_INQUIRY', 'ACCOUNT_APPLEID_ICLOUD', 'OS_UPDATE_SYSTEM_PERFORMANCE']","[0.3791, 0.1475, 0.1141]",SUBTLE_SYMPTOM_DISTINCTION
"@AppleSupport question! On the #iPhoneX when I receive texts from android users I’ve been experiencing their replies coming double! Any news on why? @AppleSupport I didn’t reply because I was waiting for the 11.2 update and now that I’ve done it, I haven’t experienced the issue I messaged you about. I love Apple 🍎 and I love iPhones 📱 but the iPhone X is the best yet! Thank you! @116333 ❤️ and the team at Apple 🍎 😍❤️❤️❤️",OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,0.3096,"['GENERAL_DEVICE_INQUIRY', 'OS_UPDATE_SYSTEM_PERFORMANCE', 'CONNECTIVITY_WIFI_BLUETOOTH']","[0.3096, 0.2484, 0.0705]",LEXICAL_OVERLAP_AMBIGUITY
"My iphone 6s keeps on crashing after the ios11.1.2 update. Help pls @AppleSupport @AppleSupport Thanks @AppleSupport . I disallowed all notifications, backed up the phone and installed iOS 11.2. It’s all good so far.",APP_CRASH_AND_DOWNLOAD,OS_UPDATE_SYSTEM_PERFORMANCE,0.6242,"['OS_UPDATE_SYSTEM_PERFORMANCE', 'APP_CRASH_AND_DOWNLOAD', 'BATTERY_CHARGING_POWER']","[0.6242, 0.1445, 0.0535]",LEXICAL_OVERLAP_AMBIGUITY
"#Xcode crashes when trying to change #UITableView Style to Grouped. Did anyone face this issue before? #iOS #iPhone @115858 #iosDeveloper https://t.co/4g5GOkzDDs @AppleSupport @AppleSupport reported, thanks!",APP_CRASH_AND_DOWNLOAD,OS_UPDATE_SYSTEM_PERFORMANCE,0.2402,"['OS_UPDATE_SYSTEM_PERFORMANCE', 'GENERAL_DEVICE_INQUIRY', 'DISPLAY_TOUCH_SCREEN']","[0.2402, 0.1632, 0.1379]",LEXICAL_OVERLAP_AMBIGUITY
Ok now that iOS 11 is out how do I turn off auto brightness @AppleSupport @AppleSupport I know how to do that but my brightness automatically goes up and down and it’s killing my battery I remember you could turn it off @AppleSupport Thank you,BATTERY_CHARGING_POWER,DISPLAY_TOUCH_SCREEN,0.5923,"['DISPLAY_TOUCH_SCREEN', 'BATTERY_CHARGING_POWER', 'HOW_TO_SETTINGS_CONFIGURATION']","[0.5923, 0.2938, 0.0698]",LEXICAL_OVERLAP_AMBIGUITY
Started my MacBook software update. Then this happened..... and it is still going on! What now? 🙈 @115858 https://t.co/uLXZh2D1Jf @AppleSupport Thank you but the screen won’t even switch on...... I am taking it in tomorrow @AppleSupport Read the entire document 🙈 and now trying the recovery. Thank you for your assistance! @AppleSupport Thank you! All sorted! You guys are awesome!,DISPLAY_TOUCH_SCREEN,OS_UPDATE_SYSTEM_PERFORMANCE,0.2726,"['OS_UPDATE_SYSTEM_PERFORMANCE', 'DISPLAY_TOUCH_SCREEN', 'GENERAL_DEVICE_INQUIRY']","[0.2726, 0.2251, 0.2065]",LEXICAL_OVERLAP_AMBIGUITY
"I wanted to say the #iPhoneX is awesome but I can’t. It sucks; no one can hear me &amp; it does not play voicemails. Stores won’t take it back. @AppleSupport @115858 @115714 @AppleSupport Thank you, will do right now.",AUDIO_SOUND_SPEAKER,GENERAL_DEVICE_INQUIRY,0.3111,"['GENERAL_DEVICE_INQUIRY', 'AUDIO_SOUND_SPEAKER', 'APP_STORE_PURCHASES_BILLING']","[0.3111, 0.2156, 0.0905]",MULTI_INTENT_COLLISION
"@AppleSupport how do I add my battery percentage to always show on iPhone X? @AppleSupport @782215 Where? https://t.co/VcfklJgSay @AppleSupport No.  I want it show in the header like I could with every other iPhone. :/ @782216 @AppleSupport @782215  https://t.co/IDwrpeZPn3 @782217 @AppleSupport @782215 Thanks! @AppleSupport No. There is no option for it on the 10. The option is missing.  Needs to be added in fir the next update please. https://t.co/MzDysxVJiW @782216 @782217 @AppleSupport Yeah, but it should be on the main screen. I don’t like to have to access it. :/ @AppleSupport I already did DM you. There isn’t a solution for it. Please add it to the next update. :)",BATTERY_CHARGING_POWER,DISPLAY_TOUCH_SCREEN,0.2951,"['DISPLAY_TOUCH_SCREEN', 'BATTERY_CHARGING_POWER', 'HOW_TO_SETTINGS_CONFIGURATION']","[0.2951, 0.2774, 0.1573]",LEXICAL_OVERLAP_AMBIGUITY
"@AppleSupport hello, I've received an email which I think is spam, do you have a department that deals with phishing emails? I can't see any details in my Apple account relating to the subscription I've apparently taken out - I've not clicked anything in the email. @AppleSupport Great, thanks! It is a phishing email - don't know why I didn't just check the email address it came from! D'oh! Have sent it on to the phishing email address anyway.",APP_STORE_PURCHASES_BILLING,GENERAL_DEVICE_INQUIRY,0.4514,"['GENERAL_DEVICE_INQUIRY', 'ACCOUNT_APPLEID_ICLOUD', 'APP_STORE_PURCHASES_BILLING']","[0.4514, 0.2366, 0.1585]",SUBTLE_SYMPTOM_DISTINCTION
"By the way in running on an old mbp retina 13-inch, late 2012. @AppleSupport @115858 @AppleSupport Thanks! I solved the problem. There were too many devices connected via bluetooth. It was slowing down my cursor movement. Thanks again!",CONNECTIVITY_WIFI_BLUETOOTH,GENERAL_DEVICE_INQUIRY,0.3021,"['GENERAL_DEVICE_INQUIRY', 'CONNECTIVITY_WIFI_BLUETOOTH', 'OS_UPDATE_SYSTEM_PERFORMANCE']","[0.3021, 0.2413, 0.077]",MULTI_INTENT_COLLISION
"@AppleSupport can u please fix the bug for iphone 6 and lower in which whenevr u restart the phone, notifications for unread messages keep poping up even though messages are months old. @AppleSupport V 11.0.2",KEYBOARD_TYPING_AUTOCORRECT,OS_UPDATE_SYSTEM_PERFORMANCE,0.4076,"['OS_UPDATE_SYSTEM_PERFORMANCE', 'KEYBOARD_TYPING_AUTOCORRECT', 'APP_CRASH_AND_DOWNLOAD']","[0.4076, 0.1689, 0.0955]",SUBTLE_SYMPTOM_DISTINCTION
"@AppleSupport Can you help me with a 10.5” iPad Pro Apple keyboard bug? Type but no output on screen. Happens about three times a day. Toggling to lock screen and back helps. Also, once a week it starts deleting text like you’re holding delete key. Would appreciate any help. @AppleSupport Hi. It looks like it’s resolved but thank you. D @AppleSupport Thanks. Running 11.1.2. Noticed for ages, months.",KEYBOARD_TYPING_AUTOCORRECT,DISPLAY_TOUCH_SCREEN,0.4527,"['DISPLAY_TOUCH_SCREEN', 'KEYBOARD_TYPING_AUTOCORRECT', 'BATTERY_CHARGING_POWER']","[0.4527, 0.436, 0.025]",MULTI_INTENT_COLLISION
"Anyone else’s iPhone running like a heap of shit since software upgrade? @AppleSupport @AppleSupport I would like to say thanks to Apple support, down loading OS 11.1 has fixed the bugs.",GENERAL_DEVICE_INQUIRY,OS_UPDATE_SYSTEM_PERFORMANCE,0.207,"['OS_UPDATE_SYSTEM_PERFORMANCE', 'GENERAL_DEVICE_INQUIRY', 'DISPLAY_TOUCH_SCREEN']","[0.207, 0.1724, 0.1225]",MULTI_INTENT_COLLISION
@AppleSupport ay man yall wrong for freezing my phone and deleting all my messages! @AppleSupport Say no more. Thank you.,APP_CRASH_AND_DOWNLOAD,GENERAL_DEVICE_INQUIRY,0.4601,"['GENERAL_DEVICE_INQUIRY', 'OS_UPDATE_SYSTEM_PERFORMANCE', 'APP_CRASH_AND_DOWNLOAD']","[0.4601, 0.1425, 0.1412]",APP_CRASH_VS_SYSTEM_PERFORMANCE
Why is this “ I️n “ still even a thing??? Shouldn’t @115858 have fixed I️t yet @AppleSupport @4150 bless you,KEYBOARD_TYPING_AUTOCORRECT,GENERAL_DEVICE_INQUIRY,0.672,"['GENERAL_DEVICE_INQUIRY', 'KEYBOARD_TYPING_AUTOCORRECT', 'OS_UPDATE_SYSTEM_PERFORMANCE']","[0.672, 0.1084, 0.0552]",SUBTLE_SYMPTOM_DISTINCTION
"@AppleSupport @115948 a lot of my music is “Unavailable” unless I delete it and re add it to my playlist/music library is there a way around this so I don’t have to do this for 100 songs https://t.co/b75R3OnXKN @AppleSupport Neat yeah I had to turn off and on the ICloud music, thanks much appreciated!",ACCOUNT_APPLEID_ICLOUD,APP_STORE_PURCHASES_BILLING,0.5123,"['APP_STORE_PURCHASES_BILLING', 'ACCOUNT_APPLEID_ICLOUD', 'CONNECTIVITY_WIFI_BLUETOOTH']","[0.5123, 0.3253, 0.0281]",SUBTLE_SYMPTOM_DISTINCTION
.@AppleSupport $78 or $79 accidental purchase..please assist. @AppleSupport Thanks,APP_STORE_PURCHASES_BILLING,GENERAL_DEVICE_INQUIRY,0.3681,"['GENERAL_DEVICE_INQUIRY', 'APP_STORE_PURCHASES_BILLING', 'OS_UPDATE_SYSTEM_PERFORMANCE']","[0.3681, 0.3267, 0.0616]",MULTI_INTENT_COLLISION
"@115858 - please fix this problem with ios 11.1.2 https://t.co/0t8fpSJWyE @AppleSupport Issue is on iPhone6s. I am facing issue for email alerts. @AppleSupport Gmail aap.  Last email notification has issue. PFB new snapshot. Please fix it.
Device : iPhone6s https://t.co/05XKxOG9i2 @766048 @AppleSupport Money, Love and Luck.. Looks like you are into everything. 👍 @AppleSupport Its resolved",OS_UPDATE_SYSTEM_PERFORMANCE,KEYBOARD_TYPING_AUTOCORRECT,0.272,"['KEYBOARD_TYPING_AUTOCORRECT', 'GENERAL_DEVICE_INQUIRY', 'OS_UPDATE_SYSTEM_PERFORMANCE']","[0.272, 0.2104, 0.2046]",LEXICAL_OVERLAP_AMBIGUITY
Gutted my #iphone6Plus has died completely after update @115858 I can't even get life linking it to #Mac - can you help? please! @AppleSupport Thank you so much - have sent the details. Much appreciated,OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,0.3103,"['GENERAL_DEVICE_INQUIRY', 'OS_UPDATE_SYSTEM_PERFORMANCE', 'KEYBOARD_TYPING_AUTOCORRECT']","[0.3103, 0.2363, 0.0866]",LEXICAL_OVERLAP_AMBIGUITY
Hi! @AppleSupport AirPods appear to be either not charging correctly or losing battery fast. This is recent behavior. (1) @AppleSupport Less than half an hour on the phone. I'll have to observe and report back to see if it continues. Thanks.,AUDIO_SOUND_SPEAKER,BATTERY_CHARGING_POWER,0.8195,"['BATTERY_CHARGING_POWER', 'AUDIO_SOUND_SPEAKER', 'GENERAL_DEVICE_INQUIRY']","[0.8195, 0.0678, 0.0304]",SUBTLE_SYMPTOM_DISTINCTION
Since #iOS11 my notifications have been messed up. Can you sort it out please @115858 @AppleSupport It’s not everyday what version. Bye.,KEYBOARD_TYPING_AUTOCORRECT,OS_UPDATE_SYSTEM_PERFORMANCE,0.3115,"['OS_UPDATE_SYSTEM_PERFORMANCE', 'KEYBOARD_TYPING_AUTOCORRECT', 'GENERAL_DEVICE_INQUIRY']","[0.3115, 0.2697, 0.1047]",LEXICAL_OVERLAP_AMBIGUITY
"@AppleSupport My iPhone won't backup to iCloud whenever I plug in. I've been trying all week and nothing will work. When I go to settings and click back up now, it never finishes. Would resetting all the settings fix things? @AppleSupport I've never backed up to iTunes, but yes I have a Mac that has iTunes and I've considered doing that before I reset the settings. But I bought this phone about 3 or 4 months ago, its a 7 plus, and it's never been backed up. @AppleSupport Im attempting a backup now. Got about 2 hours left but thought I'd try it again and set the lock screen to never so I can keep an eye on it. but when I've done it before, all it's told me is that the backup couldn't be completed @AppleSupport hey guys, the backup I did worked... but is there a way to make sure that it back ups automatically when I plug my phone in?",DISPLAY_TOUCH_SCREEN,ACCOUNT_APPLEID_ICLOUD,0.4732,"['ACCOUNT_APPLEID_ICLOUD', 'DISPLAY_TOUCH_SCREEN', 'APP_STORE_PURCHASES_BILLING']","[0.4732, 0.1388, 0.092]",SUBTLE_SYMPTOM_DISTINCTION
"@115858 @AppleSupport my phone is freezing after this new update. When I go through suspended apps and select one it stops. Have to press home button twice then unlock, kill app and reopen",ACCOUNT_APPLEID_ICLOUD,OS_UPDATE_SYSTEM_PERFORMANCE,0.3503,"['OS_UPDATE_SYSTEM_PERFORMANCE', 'APP_CRASH_AND_DOWNLOAD', 'DISPLAY_TOUCH_SCREEN']","[0.3503, 0.33, 0.0697]",LEXICAL_OVERLAP_AMBIGUITY
You’ve been complaining about this for 30 minutes now. Come on https://t.co/dfCHdkA5rA @503153 I’m hoping @115858 will hear my complaints too and fixed it 😉🙃,AUDIO_SOUND_SPEAKER,GENERAL_DEVICE_INQUIRY,0.4505,"['GENERAL_DEVICE_INQUIRY', 'AUDIO_SOUND_SPEAKER', 'OS_UPDATE_SYSTEM_PERFORMANCE']","[0.4505, 0.15, 0.1172]",SUBTLE_SYMPTOM_DISTINCTION
"@AppleSupport hey guys, the native music app crashes continually. I wouldn’t  restore my iphone. Any suggestion? @AppleSupport Thank you for helping. I just fixed it by updating to iO11.2",APP_CRASH_AND_DOWNLOAD,APP_STORE_PURCHASES_BILLING,0.482,"['APP_STORE_PURCHASES_BILLING', 'APP_CRASH_AND_DOWNLOAD', 'GENERAL_DEVICE_INQUIRY']","[0.482, 0.1736, 0.1006]",SUBTLE_SYMPTOM_DISTINCTION
"Not at all happy with @115858 iOS 11.0.3. Updated yesterday, already had phone lock up twice, and WiFi connections are #fubar. Should have stuck with iOS 10 for my #iphone 7. @AppleSupport If I can’t connect to a WiFi, I turn it off so the phone’s battery doesn’t drain. iOS 11.0.3 will automatically turn WiFi back on and try to connect to new network. That defeats the entire purpose of turning it off. @AppleSupport Then why even have the option to turn it off when you swipe to the right from the home screen? @AppleSupport Will @AppleSupport address this in the next iOS update?",BATTERY_CHARGING_POWER,CONNECTIVITY_WIFI_BLUETOOTH,0.8678,"['CONNECTIVITY_WIFI_BLUETOOTH', 'BATTERY_CHARGING_POWER', 'DISPLAY_TOUCH_SCREEN']","[0.8678, 0.0879, 0.0274]",LEXICAL_OVERLAP_AMBIGUITY
"@AppleSupport Been facing this weird animation bug on iMessage and mail app ever since I updated to ios 11 on my iPhone 6 which has now carried over to my iPhone X. Only a reboot fixes this! I have tried resetting my settings but to no avail.Been driving me crazy!Any suggestions? https://t.co/QpvFZimUwJ @AppleSupport This issue was present even on my iPhone 6 and after updating to ios 11. After purchasing my iPhone X, I set it up from an iCloud backup of my iPhone 6. I still face the issue intermittently and it typically crops up every 2-3 days. It goes away only after rebooting the phone. @AppleSupport I did a settings reset on my phone which did not work.Also,closing the app from the app switching screen does not resolve the issue. I have been trying to isolate the cause which might be doing this but so far have failed to figure anything out.It seems to pop up randomly so far. @AppleSupport Thanks. I'll keep an eye out and try to isolate the cause. It might be due to some rogue app!!",DISPLAY_TOUCH_SCREEN,OS_UPDATE_SYSTEM_PERFORMANCE,0.3114,"['OS_UPDATE_SYSTEM_PERFORMANCE', 'DISPLAY_TOUCH_SCREEN', 'CONNECTIVITY_WIFI_BLUETOOTH']","[0.3114, 0.1838, 0.1206]",LEXICAL_OVERLAP_AMBIGUITY
"@AppleSupport Can @115858 implement a shortcut ""low power mode"" to the quick access icons 🙏 https://t.co/7c5hxjSKJd @AppleSupport 6; 10.3.2. I mean, even @198874 has this feature. 😂 @AppleSupport Nice 👌",HOW_TO_SETTINGS_CONFIGURATION,GENERAL_DEVICE_INQUIRY,0.2773,"['GENERAL_DEVICE_INQUIRY', 'HOW_TO_SETTINGS_CONFIGURATION', 'OS_UPDATE_SYSTEM_PERFORMANCE']","[0.2773, 0.1636, 0.1305]",SETTINGS_VS_GENERAL_DISAMBIGUATION
Yo why tf y’all ain’t fix this I️t shit yet @115858,KEYBOARD_TYPING_AUTOCORRECT,GENERAL_DEVICE_INQUIRY,0.8325,"['GENERAL_DEVICE_INQUIRY', 'KEYBOARD_TYPING_AUTOCORRECT', 'OS_UPDATE_SYSTEM_PERFORMANCE']","[0.8325, 0.0461, 0.0342]",SUBTLE_SYMPTOM_DISTINCTION
@AppleSupport Gmail via exchange stopped syncing. So deleted to add via Google in Add Account. Logged in but window closes immediately wo finishing setup. Pls advise. @AppleSupport Went to store and sorted it out. Tx,APP_CRASH_AND_DOWNLOAD,GENERAL_DEVICE_INQUIRY,0.2771,"['GENERAL_DEVICE_INQUIRY', 'APP_STORE_PURCHASES_BILLING', 'ACCOUNT_APPLEID_ICLOUD']","[0.2771, 0.1896, 0.1308]",APP_CRASH_VS_SYSTEM_PERFORMANCE
"@115858 why is my phone constantly freezing? help?? @AppleSupport Like i’ll be watching youtube and every 5 minuets it freezes my phone and i have to turn lock the phone again, for it to take another 2 minuets for the lockscreen to work and let me on the phone. it’s never happened before so i don’t think it’s a problem with the phone. :| @AppleSupport No not really. @AppleSupport Thanks!!",APP_CRASH_AND_DOWNLOAD,OS_UPDATE_SYSTEM_PERFORMANCE,0.1964,"['OS_UPDATE_SYSTEM_PERFORMANCE', 'DISPLAY_TOUCH_SCREEN', 'BATTERY_CHARGING_POWER']","[0.1964, 0.1414, 0.1129]",APP_CRASH_VS_SYSTEM_PERFORMANCE
@AppleSupport what’s with the “i “ autocorrection to i️,GENERAL_DEVICE_INQUIRY,OS_UPDATE_SYSTEM_PERFORMANCE,0.3348,"['OS_UPDATE_SYSTEM_PERFORMANCE', 'GENERAL_DEVICE_INQUIRY', 'ACCOUNT_APPLEID_ICLOUD']","[0.3348, 0.2557, 0.0694]",MULTI_INTENT_COLLISION
"Since the latest iOS update my phone keeps turning WiFi back on after I’ve disabled it. Anyone @AppleSupport seen this before? @160214 @AppleSupport mine keeps changing my screen brightness ? @AppleSupport no, i think it was 11.01 @AppleSupport updating to iOS 11.0.2 didn’t fix it ... still changing my screen brightness @160213 @AppleSupport Turn off auto brightness in settings, iOS 11 turns it back on for some weird reason 🙄 @173694 @AppleSupport thank you Haseena, but i don’t seem to have an option to switch it off ? just the slider thingy https://t.co/sCNZm2dLQG @160213 @AppleSupport Go into accessibility from settings then go onto display accommodations and see if your auto brightness is on :) https://t.co/9JZRdS1eyn @AppleSupport i eventually found it, but it would be much better if it was actually with the screen brightness slider, Apple need to think logically @160213 @173694 @AppleSupport They’ve moved it to accessibility now. Auto brightness. Not the actual brightness. Makes perfect sense. @173694 @AppleSupport thank you Haseena ... it’s worked 😊 @173695 @173694 @AppleSupport whoever thought it was a good idea to move it, should be fired for being completely incompetent @160213 @173694 @AppleSupport Yep. It’s clearly a display setting.",CONNECTIVITY_WIFI_BLUETOOTH,DISPLAY_TOUCH_SCREEN,0.9585,"['DISPLAY_TOUCH_SCREEN', 'CONNECTIVITY_WIFI_BLUETOOTH', 'BATTERY_CHARGING_POWER']","[0.9585, 0.0184, 0.0057]",LEXICAL_OVERLAP_AMBIGUITY
